"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
10,10,33.5,33.5,30,0.95,1,2008-04-23,3,37.61,1.90474109280067,0,NA,1,1.5,"Concrete Pavements","C",0.25,0.9,"Portland Cement Concrete #3","C4","GateWay Community College",3.36271545184545,275,"Spring","surface",0.1,2.2,2400,1050,0.25,0.9,0,0.2,5.2,4800,1850,"base",0.1,3,2400,800,NA,NA,0,"subgrade",1.3,1.8,2000,1900,NA,NA,0,33.4934982048626,33.6325898684439,34.1096058752669,33.2604781250284,35.5985843086196,38.709196434163,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,42.764254602612,26.3500003814697,16.4142542211422,0.622931839981503,23.33,"Night","Spring Night"
11,10,33.5,33.5,30,0.95,2,2008-04-23,3,37.65,1.77788290439907,0,NA,2,1.5,"Concrete Pavements","C",0.325,0.93,"Portland Cement Concrete #4","C4","GateWay Community College",3.36271545184545,275,"Spring","surface",0.2,1.7,2250,945,0.325,0.93,0,0.4,3.95,4650,1745,"base",0.2,2.25,2400,800,NA,NA,0,"subgrade",1.1,1.4,1850,1500,NA,NA,0,33.4847731060623,33.6762019358154,34.2524252835031,33.0248502588586,35.8448072620471,39.3185697015948,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,39.5564645470753,26.3500003814697,13.2064641656056,0.501194078725434,23.33,"Night","Spring Night"
12,10,33.5,33.5,30,0.95,3,2008-04-23,3,37.85,1.49188737696512,0,NA,3,1.5,"Concrete Pavements","C",0.4,0.96,"Portland Cement Concrete #5","C4","GateWay Community College",3.36271545184545,275,"Spring","surface",0.3,1.2,2100,840,0.4,0.96,0,0.5,2.7,4500,1640,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.4707244338815,33.6508912806916,34.161496650532,32.9236315334459,35.1726111142639,37.9050682632765,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,35.2990010383822,26.3500003814697,8.94900065691246,0.339620513372202,23.33,"Night","Spring Night"
13,10,33.5,33.5,30,0.95,1,2007-05-02,3,37.19,2.28258278024085,0,NA,1,1.5,"Concrete Pavements","C",0.25,0.9,"Portland Cement Concrete #3","C4","South Mountain Park",9.06233240363259,275,"Spring","surface",0.1,2.2,2400,1050,0.25,0.9,0,0.2,5.2,4800,1850,"base",0.1,3,2400,800,NA,NA,0,"subgrade",1.3,1.8,2000,1900,NA,NA,0,33.4973600482871,33.6877626287854,34.3275635259291,33.3640226988393,36.3258121321313,40.1558826800156,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,65.0574762006614,49.5499992370605,15.5074769636008,0.312966240209387,27.276,"Day","Spring Day"
14,10,33.5,33.5,30,0.95,2,2007-05-02,3,37.41,2.20333651741452,0,NA,2,1.5,"Concrete Pavements","C",0.325,0.93,"Portland Cement Concrete #4","C4","South Mountain Park",9.06233240363259,275,"Spring","surface",0.2,1.7,2250,945,0.325,0.93,0,0.4,3.95,4650,1745,"base",0.2,2.25,2400,800,NA,NA,0,"subgrade",1.1,1.4,1850,1500,NA,NA,0,33.4932484032295,33.7707993422531,34.5935621302156,33.2139652426262,36.8823761254578,41.1758199014043,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,64.1305027511759,49.5499992370605,14.5805035141154,0.294258400375716,27.276,"Day","Spring Day"
15,10,33.5,33.5,30,0.95,3,2007-05-02,3,37.87,1.88052892755119,0,NA,3,1.5,"Concrete Pavements","C",0.4,0.96,"Portland Cement Concrete #5","C4","South Mountain Park",9.06233240363259,275,"Spring","surface",0.3,1.2,2100,840,0.4,0.96,0,0.5,2.7,4500,1640,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.4881494705376,33.7833837837911,34.6165956412234,33.1779734641192,36.3192937220411,39.9624344244389,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,63.050723022083,49.5499992370605,13.5007237850224,0.27246667997776,27.276,"Day","Spring Day"
16,10,33.5,33.5,30,0.95,1,2018-06-22,3,37.63,2.8965394085558,0,NA,1,1.5,"Concrete Pavements","C",0.25,0.9,"Portland Cement Concrete #3","C4","Durango Complex",9.50308971377906,275,"Summer","surface",0.1,2.2,2400,1050,0.25,0.9,0,0.2,5.2,4800,1850,"base",0.1,3,2400,800,NA,NA,0,"subgrade",1.3,1.8,2000,1900,NA,NA,0,33.498307648558,33.7259069615141,34.4995778664073,33.3969416431098,36.9422410152374,41.6946505294003,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,51.8004525414327,37.9500007629395,13.8504517784933,0.364965783927443,36.11,"Night","Summer Night"
17,10,33.5,33.5,30,0.95,2,2018-06-22,3,37.7,2.90690919386536,0,NA,2,1.5,"Concrete Pavements","C",0.325,0.93,"Portland Cement Concrete #4","C4","Durango Complex",9.50308971377906,275,"Summer","surface",0.2,1.7,2250,945,0.325,0.93,0,0.4,3.95,4650,1745,"base",0.2,2.25,2400,800,NA,NA,0,"subgrade",1.1,1.4,1850,1500,NA,NA,0,33.4958625101684,33.8414506148271,34.8848910277257,33.2873688065959,37.8204944789731,43.3214920112508,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,49.4258949707863,37.9500007629395,11.4758942078468,0.302395098211796,36.11,"Night","Summer Night"
18,10,33.5,33.5,30,0.95,3,2018-06-22,3,37.98,2.62254259170082,0,NA,3,1.5,"Concrete Pavements","C",0.4,0.96,"Portland Cement Concrete #5","C4","Durango Complex",9.50308971377906,275,"Summer","surface",0.3,1.2,2100,840,0.4,0.96,0,0.5,2.7,4500,1640,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.4926758795933,33.8805754767807,35.006616871563,33.2618193061595,37.3399687528713,42.340478283819,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,46.0615821942429,37.9500007629395,8.11158143130348,0.213743906936227,36.11,"Night","Summer Night"
19,10,33.5,33.5,30,0.95,1,2016-07-13,3,37.31,2.87076059735432,0,NA,1,1.5,"Concrete Pavements","C",0.25,0.9,"Portland Cement Concrete #3","C4","South Mountain Park",9.06233240363259,275,"Summer","surface",0.1,2.2,2400,1050,0.25,0.9,0,0.2,5.2,4800,1850,"base",0.1,3,2400,800,NA,NA,0,"subgrade",1.3,1.8,2000,1900,NA,NA,0,33.4991528743844,33.736904091694,34.5298604923354,33.4345184252758,37.0360281871037,41.8064669123506,2016-07-13 11:16:15,2016-07-13 11:16:30,14.5640001296997,69.5607258436218,63.4500007629395,6.11072508068236,0.0963077227297935,35,"Day","Summer Day"
