"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
17,10,33.5,33.5,30,1,1,2007-05-02,3,31.73,2.01514168466544,0,NA,1,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC High TI","A6","CW2674 Youngtown",6.43680082848531,320,"Spring","surface",0.13,2.2,2500,1400,0.15,0.9,0,0.48,7.4,7300,3200,"PCC",0.15,2.2,2400,1000,NA,NA,0,33.4955272638739,33.8636196048338,34.9554066207397,33.2368462334238,38.338945670534,44.2910756576783,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,67.8398918655695,47.3499984741211,20.4898933914484,0.432732714926,30.58375,"Day","Spring Day"
18,10,33.5,33.5,30,0.1,1,2007-05-02,3,31.86,3.64989705611208,0,NA,1,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC High TI","A6","CW2674 Youngtown",6.43680082848531,320,"Spring","surface",0.13,2.2,2500,1400,0.15,0.9,0,0.48,7.4,7300,3200,"PCC",0.15,2.2,2400,1000,NA,NA,0,33.4993852883635,33.5537922880393,33.7300054367367,33.465751605959,34.2902030687693,35.4203907223821,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,39.1452910635498,47.3499984741211,8.20470741057125,0.173277881203217,30.58375,"Day","Spring Day"
19,10,33.5,33.5,30,1,2,2007-05-02,3,32.17,2.24617127659961,0,NA,3,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC Low TI","A6","CW2674 Youngtown",6.43680082848531,320,"Spring","surface",0.13,1.2,2200,850,0.15,0.9,0,0.48,3.9,6700,2450,"PCC",0.15,1.2,2100,800,NA,NA,0,33.4922509684383,34.0209899386453,35.5126585444256,33.2262398149034,38.5957345010654,44.9380202705759,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,80.2227264893452,47.3499984741211,32.8727280152241,0.694249822060513,30.58375,"Day","Spring Day"
20,10,33.5,33.5,30,0.1,2,2007-05-02,3,31.63,3.30874461300088,0,NA,3,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC Low TI","A6","CW2674 Youngtown",6.43680082848531,320,"Spring","surface",0.13,1.2,2200,850,0.15,0.9,0,0.48,3.9,6700,2450,"PCC",0.15,1.2,2100,800,NA,NA,0,33.4988203797978,33.5996269817186,33.9196041838449,33.4596756548591,34.5885951982701,36.2148221380107,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,42.8530056959273,47.3499984741211,4.49699277819377,0.094973451385676,30.58375,"Day","Spring Day"
21,10,33.5,33.5,30,1,1,2018-06-22,3,31.43,2.60770805310686,0,NA,1,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC High TI","A6","Sheely",6.28538886184103,320,"Summer","surface",0.13,2.2,2500,1400,0.15,0.9,0,0.48,7.4,7300,3200,"PCC",0.15,2.2,2400,1000,NA,NA,0,33.4965902542936,33.923509000694,35.2054491882281,33.2765725333624,39.19646216944,46.2608608776072,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,55.7442248580324,37.25,18.4942248580324,0.496489257933756,35.244,"Night","Summer Night"
22,10,33.5,33.5,30,0.1,1,2018-06-22,3,31.47,3.61170798529787,0,NA,1,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC High TI","A6","Sheely",6.28538886184103,320,"Summer","surface",0.13,2.2,2500,1400,0.15,0.9,0,0.48,7.4,7300,3200,"PCC",0.15,2.2,2400,1000,NA,NA,0,33.4995329599225,33.5635387003144,33.7736920691307,33.4708466943354,34.445288142635,35.8193527998002,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,39.2217730198692,37.25,1.9717730198692,0.0529335038891061,35.244,"Night","Summer Night"
23,10,33.5,33.5,30,1,2,2018-06-22,3,31.83,2.9383968560517,0,NA,3,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC Low TI","A6","Sheely",6.28538886184103,320,"Summer","surface",0.13,1.2,2200,850,0.15,0.9,0,0.48,3.9,6700,2450,"PCC",0.15,1.2,2100,800,NA,NA,0,33.4940466260257,34.1068003751491,35.8596185394544,33.26916303567,39.4941856001151,47.0490215133706,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,53.0858592366363,37.25,15.8358592366363,0.425123737896276,35.244,"Night","Summer Night"
24,10,33.5,33.5,30,0.1,2,2018-06-22,3,31.94,3.27049718884276,0,NA,3,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC Low TI","A6","Sheely",6.28538886184103,320,"Summer","surface",0.13,1.2,2200,850,0.15,0.9,0,0.48,3.9,6700,2450,"PCC",0.15,1.2,2100,800,NA,NA,0,33.4991033463973,33.6173599399357,33.9977445874191,33.4661267703635,34.7955988545278,36.7662917623952,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,42.2121969217446,37.25,4.96219692174463,0.133213340181064,35.244,"Night","Summer Night"
25,10,33.5,33.5,30,1,1,2016-07-13,3,32.21,2.55145981807177,0,NA,1,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC High TI","A6","Sheely",6.28538886184103,320,"Summer","surface",0.13,2.2,2500,1400,0.15,0.9,0,0.48,7.4,7300,3200,"PCC",0.15,2.2,2400,1000,NA,NA,0,33.4978103830323,33.9303883032054,35.2126350154433,33.3334005225012,39.2152283718394,46.2119040990137,2016-07-13 11:16:15,2016-07-13 11:16:30,14.5640001296997,72.1305584054788,56.3499984741211,15.7805599313577,0.280045436711148,38.305,"Day","Summer Day"
26,10,33.5,33.5,30,0.1,1,2016-07-13,3,31.99,3.61520805157793,0,NA,1,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC High TI","A6","Sheely",6.28538886184103,320,"Summer","surface",0.13,2.2,2500,1400,0.15,0.9,0,0.48,7.4,7300,3200,"PCC",0.15,2.2,2400,1000,NA,NA,0,33.4997289581387,33.5653243034756,33.7772880372486,33.4796364143888,34.4553929321033,35.818548316818,2016-07-13 11:16:15,2016-07-13 11:16:30,14.5640001296997,40.1357002854099,56.3499984741211,16.2142981887112,0.28774265532869,38.305,"Day","Summer Day"
