"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
8,10,33.5,33.5,30,0.1,1,2014-02-19,5,87.16,2.56806447821443,0,NA,1,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 100mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,33.1101530086899,33.3614769462464,33.5,32.4168960641133,32.9260687776657,33.5,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,29.9293186379832,18.1499996185303,11.7793190194529,0.648998306723201,15.7357949548091,"Night","Winter Night"
9,10,33.5,33.5,30,1,2,2014-02-19,5,88.21,0.504274877685342,0,NA,3,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 200mm","C4","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,33.4493771447492,33.6920723934326,34.1523068264477,32.8454870466429,34.4026470065386,35.7087650789264,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,29.7878710482235,18.0499992370605,11.7378718111629,0.650297634753497,15.7357949548091,"Night","Winter Night"
10,10,33.5,33.5,30,0.1,2,2014-02-19,5,87.39,2.56799345242479,0,NA,3,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 200mm","C4","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,33.1102539330356,33.3615153066766,33.5,32.4171644638041,32.9262208046103,33.5,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,29.9294129835921,18.0499992370605,11.8794137465316,0.658139293554127,15.7357949548091,"Night","Winter Night"
11,10,33.5,33.5,30,1,3,2014-02-19,5,87.73,0.504074640892637,0,NA,5,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 300mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,33.4493443032881,33.6918674403581,34.1518123088788,32.8452301535128,34.4018801848568,35.7073852002898,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,29.7886863145296,18.1499996185303,11.6386866959993,0.641249969179986,15.7357949548091,"Night","Winter Night"
12,10,33.5,33.5,30,0.1,3,2014-02-19,5,86.97,2.56806447821443,0,NA,5,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 300mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,33.1101530086899,33.3614769462464,33.5,32.4168960641133,32.9260687776657,33.5,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,29.9293186379832,18.1499996185303,11.7793190194529,0.648998306723201,15.7357949548091,"Night","Winter Night"
13,10,33.5,33.5,30,1,1,2007-02-27,5,87.99,0.323804981693842,0,NA,1,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 100mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,33.3828013799534,33.4385878645819,33.5,32.6906030979065,33.3990229769007,34.2601723966641,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,48.8214051019748,24.25,24.5714051019748,1.01325381863814,17.1097866871546,"Day","Winter Day"
14,10,33.5,33.5,30,0.1,1,2007-02-27,5,87.39,2.69221060030992,0,NA,1,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 100mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,32.6275488150344,33.1857249877072,33.5,31.2892304224871,32.2191965827784,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,29.8763160795569,24.25,5.62631607955689,0.232013034208531,17.1097866871546,"Day","Winter Day"
15,10,33.5,33.5,30,1,2,2007-02-27,5,89.12,0.324401987192031,0,NA,3,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 200mm","C4","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,33.3830693749434,33.4387777617382,33.5,32.691384396466,33.3997323826714,34.2614572361655,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,48.8325434089677,32.9500007629395,15.8825426460282,0.482019492512187,17.1097866871546,"Day","Winter Day"
16,10,33.5,33.5,30,0.1,2,2007-02-27,5,88.6,2.69214717690893,0,NA,3,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 200mm","C4","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,32.6276400150189,33.1857596016725,33.5,31.2894775996285,32.2193340366444,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,29.8781413625666,32.9500007629395,3.07185940037289,0.0932279007358314,17.1097866871546,"Day","Winter Day"
17,10,33.5,33.5,30,1,3,2007-02-27,5,88.98,0.323804981693842,0,NA,5,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 300mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,33.3828013799534,33.4385878645819,33.5,32.6906030979065,33.3990229769007,34.2601723966641,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,48.8214051019748,24.25,24.5714051019748,1.01325381863814,17.1097866871546,"Day","Winter Day"
18,10,33.5,33.5,30,0.1,3,2007-02-27,5,88.7,2.69221060030992,0,NA,5,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 300mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,32.6275488150344,33.1857249877072,33.5,31.2892304224871,32.2191965827784,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,29.8763160795569,24.25,5.62631607955689,0.232013034208531,17.1097866871546,"Day","Winter Day"
19,10,33.5,33.5,30,1,1,2008-04-23,5,88.78,1.54451541015697,0,NA,1,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 100mm","C1","Mean Hour All Stations",3.14159265358979,"Spring","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,33.4694095158784,34.1120675226698,35.3160436396401,33.0110838412257,36.1211696278166,38.9680391347084,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,36.0657014513741,26.25,9.81570145137414,0.373931483861872,21.3139705882353,"Night","Spring Night"
