day.frac,min.flux,mean.flux,max.flux
0.426388889,44.264576,52.07597176,98.02243756
0.427083333,43.76078424,51.48327558,116.8239319
0.427777778,39.5591223,51.08701194,95.82304046
0.428472222,39.70865174,50.48522077,94.63500048
0.429166667,40.28396498,51.70789366,95.19551165
0.429861111,42.3364467,52.91023698,95.35391698
0.430555556,44.31454542,54.13847839,103.5727167
0.43125,40.22711664,55.15691983,95.57324744
0.431944444,39.83543588,56.15563914,95.61589503
0.432638889,39.64738531,57.10955208,95.60371
0.433333333,39.17228937,57.91968519,95.81085544
0.434027778,41.89121657,58.73241896,95.97535328
0.434722222,38.63078967,59.53260803,96.16422118
0.435416667,38.38316856,60.2919795,96.32871902
0.436111111,37.16685665,60.89520094,96.09720354
0.436805556,35.52274526,62.03791256,96.15812866
0.4375,53.69868892,63.17492814,132.3598394
0.438194444,54.62047683,64.25938451,107.0759115
0.438888889,55.45763721,65.24427907,106.9235987
0.439583333,56.86776705,66.90325535,105.2481577
0.440277778,57.43267045,67.56784759,103.1157782
0.440972222,58.0402911,68.28269542,112.2545473
0.441666667,58.63571709,68.98319657,97.8457547
0.442361111,59.21310894,69.6624811,98.20521295
0.443055556,59.8017657,70.35501847,98.73526156
0.44375,59.98037762,70.56515014,99.07644227
0.444444444,60.21381399,70.83978117,111.0360448
0.445138889,60.51881189,71.19860222,100.0025042
0.445833333,60.87617151,71.61902531,100.4838127
0.446527778,59.64902669,70.17532552,99.19829252
0.447222222,58.43480088,68.74682456,98.46109848
0.447916667,57.18990762,67.28224426,117.8901216
0.448611111,54.34970161,65.84678075,96.99280291
0.449305556,54.76721024,64.43201205,97.17557829
0.45,54.53303484,65.62561462,98.23567551
0.450694444,53.60708569,66.3273735,99.45417806
0.451388889,56.60763555,67.03056551,109.0559781
0.452083333,43.09608765,67.7441583,101.8546281
0.452777778,44.21907799,68.44221246,103.0365756
0.453472222,44.79180397,69.31267508,103.956545
0.454166667,44.45673588,69.91451576,104.8460518
0.454861111,46.8831889,70.49308553,105.7599288
0.455555556,38.62491768,71.08465477,106.7164533
0.45625,38.4778125,71.66592335,107.5633125
0.456944444,38.51256703,71.65271512,107.7887355
0.457638889,38.41105403,72.28066219,107.9349558
0.458333333,61.9477468,72.87970212,159.3192083
0.459027778,62.48022458,73.50614656,126.2673267
0.459722222,62.76111894,73.83661052,126.2673267
0.460416667,64.06685334,75.37276864,125.5057626
0.461111111,65.09983161,76.58803719,124.4395728
0.461805556,66.09884377,77.76334561,134.0352804
0.4625,67.05554728,78.88887915,116.3669934
0.463194444,68.02070004,80.02435298,116.3669934
0.463888889,69.05278819,81.23857434,114.6915524
0.464583333,69.35684009,81.59628246,111.3406704
0.465277778,69.66696981,81.96114095,123.5256959
0.465972222,67.69357684,82.32036909,111.5600009
0.466666667,67.75555061,82.68189445,111.8646265
0.467361111,67.84497929,80.43745992,109.5372867
0.468055556,60.62944477,78.73938076,108.0019734
0.46875,65.48281742,77.03860873,123.5256959
0.469444444,64.0270248,75.32591153,104.8582369
0.470138889,62.58591771,73.63049143,103.3046461
0.470833333,62.3616078,73.36659741,103.7615846
0.471527778,61.62032937,72.49450514,103.6701969
0.472222222,60.89936481,71.64631154,114.3869268
0.472916667,46.22621535,70.80017233,103.505699
0.473611111,46.23105532,69.95945772,103.5300691
0.474305556,46.14616497,69.10108284,103.4264964
0.475,46.09346801,68.8263537,103.5239766
0.475694444,47.07546789,68.55194943,103.6336418
0.476388889,41.37449068,68.27795608,103.8590648
0.477083333,41.32199692,68.33877615,104.0783952
0.477777778,40.92399339,67.23395492,103.8956199
0.478472222,40.84365539,66.68026188,103.8164172
0.479166667,56.22078979,66.14210564,145.4587418
0.479861111,55.77405714,65.61653781,114.0823012
0.480555556,55.32647849,65.08997469,114.5392396
0.48125,55.0301662,64.74137201,112.4068602
0.481944444,55.22067155,64.96549594,111.9499217
0.482638889,55.38780719,65.16212611,120.936378
0.483333333,55.57377529,65.38091211,105.2359727
0.484027778,55.75078514,65.58915899,105.4857657
0.484722222,56.31891429,66.25754623,106.1620346
0.485416667,56.88577015,66.92443546,106.6677132
0.486111111,57.45783113,67.59744839,118.9563114
0.486805556,57.15456736,68.42136704,107.794828
0.4875,57.7585618,69.23528975,108.3309691
0.488194444,57.54107522,68.36470953,106.856581
0.488888889,57.39608861,68.095563,106.1681271
0.489583333,57.84399378,68.05175739,128.7043318
0.490277778,50.98884903,67.97006219,104.6998315
0.490972222,50.40944627,67.88178988,103.96873
0.491666667,50.79536755,71.27280118,105.4126555
0.492361111,50.5187143,73.59070514,106.2168672
0.493055556,61.2786966,75.90315932,118.0424344
0.49375,55.54588698,78.25584696,107.8131055
0.494444444,55.62352153,80.60487396,108.5381146
0.495138889,58.43226478,82.97148227,108.9341279
0.495833333,58.13951305,85.35557812,109.2996787
0.496527778,59.43430657,87.55447024,109.6286743
0.497222222,52.37953381,89.73544826,109.9942251
0.497916667,57.2098573,91.52161255,110.3354058
0.498611111,56.18302789,93.20200707,109.9393925
0.499305556,55.87644151,94.42300734,109.7600015
0.5,80.06997086,95.68507122,182.0303525
0.500694444,79.89177029,96.59373216,151.9513524
0.501388889,79.79375998,97.51546052,151.8871717
