"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
23,10,33.5,33.5,30,1,3,2008-04-23,3,33.28,1.74421593027356,0,NA,5,1.5,"Asphalt Pavements","A",0.2,0.85,"Asphalt High A","A6","KC7FQC Phoenix",9.90081982015144,320,"Spring","surface",0.14,1.7,2350,950,0.2,0.85,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4904233851167,33.7636303552987,34.6141719893001,33.140979547242,36.9904486261658,41.7964462253414,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,44.897744713582,25.1499996185303,19.7477450950517,0.785198624039014,22.23,"Night","Spring Night"
24,10,33.5,33.5,30,0.1,3,2008-04-23,3,33.09,2.79461308992869,0,NA,5,1.5,"Asphalt Pavements","A",0.2,0.85,"Asphalt High A","A6","KC7FQC Phoenix",9.90081982015144,320,"Spring","surface",0.14,1.7,2350,950,0.2,0.85,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.498772597792,33.5429390276383,33.6933592429859,33.4539175562286,34.1260959707884,35.11064415908,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,37.5852533940421,25.1499996185303,12.4352537755119,0.494443497579606,22.23,"Night","Spring Night"
25,10,33.5,33.5,30,1,1,2007-05-02,3,32.93,2.25559177145911,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","CW2674 Youngtown",6.43680082848531,320,"Spring","surface",0.14,1.7,2350,950,0.1,0.95,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4954051522685,33.8579054598156,34.9638795248653,33.2706654604263,38.0419196181001,43.7774612210864,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,75.6750115334121,47.3499984741211,28.3250130592911,0.598205152525442,30.58375,"Day","Spring Day"
26,10,33.5,33.5,30,0.1,1,2007-05-02,3,33.1,2.70670415921753,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","CW2674 Youngtown",6.43680082848531,320,"Spring","surface",0.14,1.7,2350,950,0.1,0.95,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4993204402791,33.5607084003557,33.7668775807359,33.4676124846378,34.3565691173147,35.6319700788864,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,41.1458594151601,47.3499984741211,6.204139058961,0.131027228276509,30.58375,"Day","Spring Day"
27,10,33.5,33.5,30,1,2,2007-05-02,3,33.11,2.15815613991203,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Med A","A6","CW2674 Youngtown",6.43680082848531,320,"Spring","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4955472149779,33.848907112475,34.9312265946983,33.2784626401618,37.945668539207,43.5902807000867,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,74.5611208051866,47.3499984741211,27.2111223310656,0.574680532375047,30.58375,"Day","Spring Day"
28,10,33.5,33.5,30,0.1,2,2007-05-02,3,32.93,2.74079348528741,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Med A","A6","CW2674 Youngtown",6.43680082848531,320,"Spring","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4993510038728,33.5577794493383,33.7541750747931,33.4691284514234,34.3160708253112,35.5331841024,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,40.7882517748314,47.3499984741211,6.5617466992897,0.138579660205818,30.58375,"Day","Spring Day"
29,10,33.5,33.5,30,1,3,2007-05-02,3,33.03,2.05939851956513,0,NA,5,1.5,"Asphalt Pavements","A",0.2,0.85,"Asphalt High A","A6","CW2674 Youngtown",6.43680082848531,320,"Spring","surface",0.14,1.7,2350,950,0.2,0.85,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4956498593262,33.8389048951961,34.8947867451393,33.2852992237807,37.8378362321289,43.3796462101619,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,73.3684990037327,47.3499984741211,26.0185005296116,0.54949316511239,30.58375,"Day","Spring Day"
30,10,33.5,33.5,30,0.1,3,2007-05-02,3,32.91,2.77576670348694,0,NA,5,1.5,"Asphalt Pavements","A",0.2,0.85,"Asphalt High A","A6","CW2674 Youngtown",6.43680082848531,320,"Spring","surface",0.14,1.7,2350,950,0.2,0.85,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4993813887007,33.554790097442,33.7411966080278,33.4706457368649,34.2746589635649,35.4319611784853,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,40.4224562599569,47.3499984741211,6.92754221416419,0.146305014517591,30.58375,"Day","Spring Day"
31,10,33.5,33.5,30,1,1,2018-06-22,3,32.94,2.91134301179282,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","Sheely",6.28538886184103,320,"Summer","surface",0.14,1.7,2350,950,0.1,0.95,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4964592777661,33.9165186684671,35.2133591792671,33.3051708920073,38.8422637542099,45.6774007441584,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,53.3915811339725,37.25,16.1415811339725,0.433331037153623,35.244,"Night","Summer Night"
32,10,33.5,33.5,30,0.1,1,2018-06-22,3,32.95,2.66347307958286,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","Sheely",6.28538886184103,320,"Summer","surface",0.14,1.7,2350,950,0.1,0.95,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4994872817871,33.5715543572337,33.816563958916,33.4727350889433,34.5212501508473,36.0703457389322,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,40.5233566767882,37.25,3.27335667678818,0.0878753470278707,35.244,"Night","Summer Night"
