"run.n","nodal.spacing","n.iterations","i.top.temp","i.bot.temp","time.step","pave.length","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","L4.layer","L4.thickness","L4.k","L4.rho","L4.c","L4.albedo","L4.emissivity","L4.R.c.top","L5.layer","L5.thickness","L5.k","L5.rho","L5.c","L5.albedo","L5.emissivity","L5.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
28,10,1,33.5,33.5,30,100,1,4,2007-02-27,3,40.34,0,0,NA,7,1.5,"Bare Ground / Desert Soil","BG",0.45,0.9525,"Bare Dry Soil #4","B1","Phoenix Greenway",4.20208329207269,"Winter","surface",0.75,0.725,1850,1075,0.45,0.9525,0,0.75,0.725,1850,1075,"subgrade",0.75,0.725,1850,1075,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2732987443454,33.4491829301396,33.5,30.9426620032182,32.4020172134688,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,31.3480969264957,31.0499992370605,0.29809768943511,0.00960056994395374,17.6583333333333,"Day","Winter Day"
29,10,1,33.5,33.5,30,10,1,5,2007-02-27,3,40.32,0,0,NA,9,1.5,"Bare Ground / Desert Soil","BG",0.5,0.97,"Bare Dry Soil #5","B1","Phoenix Greenway",4.20208329207269,"Winter","surface",0.75,0.3,2000,800,0.5,0.97,0,0.75,0.3,2000,800,"subgrade",0.75,0.3,2000,800,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4774981431963,33.4967365802757,33.5,31.9290730814625,32.9769432439857,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,31.9822136950155,31.0499992370605,0.932214457954956,0.030023010655739,17.6583333333333,"Day","Winter Day"
30,10,1,33.5,33.5,30,100,1,5,2007-02-27,3,40.02,0,0,NA,9,1.5,"Bare Ground / Desert Soil","BG",0.5,0.97,"Bare Dry Soil #5","B1","Phoenix Greenway",4.20208329207269,"Winter","surface",0.75,0.3,2000,800,0.5,0.97,0,0.75,0.3,2000,800,"subgrade",0.75,0.3,2000,800,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4781647207928,33.4968229377438,33.5,31.9862763754189,32.9946141467498,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,32.6244300460209,31.0499992370605,1.57443080896036,0.0507063074926312,17.6583333333333,"Day","Winter Day"
31,10,1,33.5,33.5,30,10,1,1,2008-04-23,3,40.05,0,0,NA,1,1.5,"Bare Ground / Desert Soil","BG",0.3,0.9,"Bare Dry Soil #1","B1","Phoenix Greenway",4.20208329207269,"Spring","surface",0.75,2,1400,1900,0.3,0.9,0,0.75,2,1400,1900,"subgrade",0.75,2,1400,1900,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4608660304229,33.5812451496188,33.8890427820452,32.9929128438407,34.2683482816198,35.7544812388725,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,34.8373073082153,19.25,15.5873073082153,0.809730249777416,22.45,"Night","Spring Night"
32,10,1,33.5,33.5,30,100,1,1,2008-04-23,3,40.32,0,0,NA,1,1.5,"Bare Ground / Desert Soil","BG",0.3,0.9,"Bare Dry Soil #1","B1","Phoenix Greenway",4.20208329207269,"Spring","surface",0.75,2,1400,1900,0.3,0.9,0,0.75,2,1400,1900,"subgrade",0.75,2,1400,1900,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4631073005204,33.6013188835882,33.9622090561124,33.0087745018139,34.4189004391603,36.0959846698349,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,36.005679365596,19.25,16.755679365596,0.870424902108883,22.45,"Night","Spring Night"
33,10,1,33.5,33.5,30,10,1,2,2008-04-23,3,40.14,0,0,NA,3,1.5,"Bare Ground / Desert Soil","BG",0.35,0.9175,"Bare Dry Soil #2","B1","Phoenix Greenway",4.20208329207269,"Spring","surface",0.75,1.575,1550,1625,0.35,0.9175,0,0.75,1.575,1550,1625,"subgrade",0.75,1.575,1550,1625,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4677939649329,33.5216071066168,33.6663771897864,33.0397908305411,33.8874154955085,34.7909248417561,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,32.8075494120625,19.25,13.5575494120625,0.704288281146106,22.45,"Night","Spring Night"
34,10,1,33.5,33.5,30,100,1,2,2008-04-23,3,39.86,0,0,NA,3,1.5,"Bare Ground / Desert Soil","BG",0.35,0.9175,"Bare Dry Soil #2","B1","Phoenix Greenway",4.20208329207269,"Spring","surface",0.75,1.575,1550,1625,0.35,0.9175,0,0.75,1.575,1550,1625,"subgrade",0.75,1.575,1550,1625,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4700057473482,33.5350124839016,33.7189800379288,33.0550597743712,34.016621470696,35.0870027260195,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,33.9167678523712,19.25,14.6667678523712,0.761910018304995,22.45,"Night","Spring Night"
35,10,1,33.5,33.5,30,10,1,3,2008-04-23,3,40.03,0,0,NA,5,1.5,"Bare Ground / Desert Soil","BG",0.4,0.935,"Bare Dry Soil #3","B1","Phoenix Greenway",4.20208329207269,"Spring","surface",0.75,1.15,1700,1350,0.4,0.935,0,0.75,1.15,1700,1350,"subgrade",0.75,1.15,1700,1350,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4724504496863,33.488818191859,33.514429356309,33.0839978914205,33.5529604032561,33.9853401197036,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,30.3324066862855,19.25,11.0824066862855,0.575709438248596,22.45,"Night","Spring Night"
36,10,1,33.5,33.5,30,100,1,3,2008-04-23,3,38.8,0,0,NA,5,1.5,"Bare Ground / Desert Soil","BG",0.4,0.935,"Bare Dry Soil #3","B1","Phoenix Greenway",4.20208329207269,"Spring","surface",0.75,1.15,1700,1350,0.4,0.935,0,0.75,1.15,1700,1350,"subgrade",0.75,1.15,1700,1350,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4746758564294,33.4961397670241,33.5467819254579,33.095509502335,33.6557248756949,34.1801261463086,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,31.3580849176266,19.25,12.1080849176266,0.628991424292289,22.45,"Night","Spring Night"
37,10,1,33.5,33.5,30,10,1,4,2008-04-23,3,39.86,0,0,NA,7,1.5,"Bare Ground / Desert Soil","BG",0.45,0.9525,"Bare Dry Soil #4","B1","Phoenix Greenway",4.20208329207269,"Spring","surface",0.75,0.725,1850,1075,0.45,0.9525,0,0.75,0.725,1850,1075,"subgrade",0.75,0.725,1850,1075,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4589324494915,33.4861466088054,33.5,33.1655074555495,33.3391692664629,33.5,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,27.0631093224346,19.25,7.81310932243457,0.40587580895764,22.45,"Night","Spring Night"
