"run.n","nodal.spacing","n.iterations","i.top.temp","i.bot.temp","time.step","pave.length","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
28,10,1,33.5,33.5,30,100,1,1,2014-07-29,3,25.47,3.23699145778072,0,NA,1,1.5,"High Volume Asphalt Pavements","HVA",0.15,0.87,"High Volume HMA (OGFC 35mm rebonded on 265mm DGHMA)","A3","Mesa",10.9260615979618,"Summer","surface",0.035,0.96,2350,945,0.15,0.87,0,0.3,1.88,4650,1845,"base",0.265,0.92,2300,900,NA,NA,0,"subgrade",1.2,1.1,1500,1900,NA,NA,0,33.4978268034248,33.5507823442638,33.7907103738373,33.3914231180706,34.967317606646,37.6355947526247,2014-07-29 22:35:14,2014-07-29 22:35:00,14.4520001411438,43.9203767814125,39.25,4.67037678141253,0.118990491246179,31.12,"Night","Summer Night"
29,10,1,33.5,33.5,30,100,1,2,2014-07-29,3,25.08,3.01104961845211,0,NA,2,1.5,"High Volume Asphalt Pavements","HVA",0.175,0.9,"High Volume HMA (OGFC 25mm rebonded on 275mm DGHMA)","A5","Mesa",10.9260615979618,"Summer","surface",0.025,1.16,2400,964,0.175,0.9,0,0.3,2.26,4750,1904,"base",0.275,1.1,2350,940,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4985286893367,33.5444846189286,33.758806768923,33.4056168943771,35.0314456566976,37.8396894246743,2014-07-29 22:35:14,2014-07-29 22:35:00,14.4520001411438,45.2348438790175,41.4500007629395,3.78484311607809,0.0913110505769189,37.3,"Night","Summer Night"
30,10,1,33.5,33.5,30,100,1,3,2014-07-29,3,25.96,2.83556428707355,0,NA,3,1.5,"High Volume Asphalt Pavements","HVA",0.25,0.85,"High Volume HMA (OGFC 50mm rebonded on 250mm DGHMA)","A9","Mesa",10.9260615979618,"Summer","surface",0.05,1.2,2500,964,0.25,0.85,0,0.3,2.28,4900,1924,"base",0.25,1.08,2400,960,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4985582434473,33.5402033104267,33.7369637410864,33.4101886633835,34.9161563620016,37.5598896200021,2014-07-29 22:35:14,2014-07-29 22:35:00,14.4520001411438,46.1331750445503,39.6500015258789,6.48317351867144,0.163510044619796,37.3,"Night","Summer Night"
31,10,1,33.5,33.5,30,100,1,1,2014-08-30,3,25.68,3.07217668841115,0,NA,1,1.5,"High Volume Asphalt Pavements","HVA",0.15,0.87,"High Volume HMA (OGFC 35mm rebonded on 265mm DGHMA)","A3","Mesa",10.9260615979618,"Summer","surface",0.035,0.96,2350,945,0.15,0.87,0,0.3,1.88,4650,1845,"base",0.265,0.92,2300,900,NA,NA,0,"subgrade",1.2,1.1,1500,1900,NA,NA,0,33.498829105512,33.5656736756169,33.8433113691992,33.422601567908,35.1321619866739,37.5852796493762,2014-08-30 22:35:36,2014-08-30 22:35:30,6.87100005149841,40.4429932466537,36.5499992370605,3.89299400959311,0.10651146623406,28.9,"Night","Summer Night"
32,10,1,33.5,33.5,30,100,1,2,2014-08-30,3,25.21,2.83291516135789,0,NA,2,1.5,"High Volume Asphalt Pavements","HVA",0.175,0.9,"High Volume HMA (OGFC 25mm rebonded on 275mm DGHMA)","A5","Mesa",10.9260615979618,"Summer","surface",0.025,1.16,2400,964,0.175,0.9,0,0.3,2.26,4750,1904,"base",0.275,1.1,2350,940,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4991240683518,33.5576366366504,33.8097239328901,33.4268947855575,35.2178336632193,37.8209338363348,2014-08-30 22:35:36,2014-08-30 22:35:30,6.87100005149841,41.9850289273618,39.25,2.73502892736184,0.0696822656652698,34.694,"Night","Summer Night"
33,10,1,33.5,33.5,30,100,1,3,2014-08-30,3,25.72,2.63002650762685,0,NA,3,1.5,"High Volume Asphalt Pavements","HVA",0.25,0.85,"High Volume HMA (OGFC 50mm rebonded on 250mm DGHMA)","A9","Mesa",10.9260615979618,"Summer","surface",0.05,1.2,2500,964,0.25,0.85,0,0.3,2.28,4900,1924,"base",0.25,1.08,2400,960,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4991429061962,33.5525252331769,33.7853564632255,33.430652358094,35.0951169406581,37.5512145219578,2014-08-30 22:35:36,2014-08-30 22:35:30,6.87100005149841,42.9388239853917,36.1500015258789,6.7888224595128,0.187795910731922,34.694,"Night","Summer Night"
34,10,1,33.5,33.5,30,100,1,1,2014-10-01,3,25.84,1.67561191041377,0,NA,1,1.5,"High Volume Asphalt Pavements","HVA",0.15,0.87,"High Volume HMA (OGFC 35mm rebonded on 265mm DGHMA)","A3","Mesa",10.9260615979618,"Fall","surface",0.035,0.96,2350,945,0.15,0.87,0,0.3,1.88,4650,1845,"base",0.265,0.92,2300,900,NA,NA,0,"subgrade",1.2,1.1,1500,1900,NA,NA,0,33.4968215101833,33.5005806760591,33.5021930232778,33.3561526368125,33.469929973835,33.5261197549631,2014-10-01 22:35:33,2014-10-01 22:35:30,3.52099990844727,33.1812105340968,26.8500003814697,6.33121015262708,0.235799257455374,21.8083333333333,"Night","Fall Night"
35,10,1,33.5,33.5,30,100,1,2,2014-10-01,3,25.23,1.8124739341993,0,NA,2,1.5,"High Volume Asphalt Pavements","HVA",0.175,0.9,"High Volume HMA (OGFC 25mm rebonded on 275mm DGHMA)","A5","Mesa",10.9260615979618,"Fall","surface",0.025,1.16,2400,964,0.175,0.9,0,0.3,2.26,4750,1904,"base",0.275,1.1,2350,940,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4965921827825,33.5226849010629,33.6336765062464,33.3386352548679,34.2421705828521,35.3699575693641,2014-10-01 22:35:33,2014-10-01 22:35:30,3.52099990844727,33.0488564873069,29.25,3.79885648730686,0.129875435463483,23.854,"Night","Fall Night"
36,10,1,33.5,33.5,30,100,1,3,2014-10-01,3,25.5,1.58972154870193,0,NA,3,1.5,"High Volume Asphalt Pavements","HVA",0.25,0.85,"High Volume HMA (OGFC 50mm rebonded on 250mm DGHMA)","A9","Mesa",10.9260615979618,"Fall","surface",0.05,1.2,2500,964,0.25,0.85,0,0.3,2.28,4900,1924,"base",0.25,1.08,2400,960,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4966884236678,33.5195870258753,33.6177087063587,33.3480445216264,34.1591548237015,35.1711389574892,2014-10-01 22:35:33,2014-10-01 22:35:30,3.52099990844727,33.9434981961447,27.0499992370605,6.89349895908418,0.254842852255595,23.854,"Night","Fall Night"
37,10,1,33.5,33.5,30,100,1,1,2012-10-22,3,25.4,1.42221472336259,0,NA,1,1.5,"High Volume Asphalt Pavements","HVA",0.15,0.87,"High Volume HMA (OGFC 35mm rebonded on 265mm DGHMA)","A3","Mesa",10.9260615979618,"Fall","surface",0.035,0.96,2350,945,0.15,0.87,0,0.3,1.88,4650,1845,"base",0.265,0.92,2300,900,NA,NA,0,"subgrade",1.2,1.1,1500,1900,NA,NA,0,33.4925077152136,33.5043039428812,33.5438349726668,33.2895546128359,33.7134642169646,34.1174856599619,2012-10-22 11:14:51,2012-10-22 11:15:00,8.20900011062622,52.598531996074,39.0499992370605,13.5485327590135,0.346953470517746,23.9,"Day","Fall Day"
38,10,1,33.5,33.5,30,100,1,2,2012-10-22,3,23.61,1.03497167004697,0,NA,2,1.5,"High Volume Asphalt Pavements","HVA",0.175,0.9,"High Volume HMA (OGFC 25mm rebonded on 275mm DGHMA)","A5","Mesa",10.9260615979618,"Fall","surface",0.025,1.16,2400,964,0.175,0.9,0,0.3,2.26,4750,1904,"base",0.275,1.1,2350,940,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4887136488124,33.4970541419042,33.5140742343264,33.2148202770665,33.6108912429038,33.9659052052963,2012-10-22 11:14:51,2012-10-22 11:15:00,8.20900011062622,46.9302220441612,43.25,3.68022204416116,0.0850918391713562,24.925,"Day","Fall Day"
39,10,1,33.5,33.5,30,100,1,3,2012-10-22,3,23.09,1.1025721066806,0,NA,3,1.5,"High Volume Asphalt Pavements","HVA",0.25,0.85,"High Volume HMA (OGFC 50mm rebonded on 250mm DGHMA)","A9","Mesa",10.9260615979618,"Fall","surface",0.05,1.2,2500,964,0.25,0.85,0,0.3,2.28,4900,1924,"base",0.25,1.08,2400,960,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4926175832638,33.5032285033434,33.5425892126473,33.2778357014183,33.7771610129364,34.3179339439192,2012-10-22 11:14:51,2012-10-22 11:15:00,8.20900011062622,45.894565391781,40.5499992370605,5.34456615472044,0.131801880524718,25.4,"Day","Fall Day"
