"ibuttonID","NDVI_originalbyUCR","button_type","Lat","Lon","NDVIBuf30m_mean","medianHHIncome","LCpct30mBuf_building","LCpct30mBuf_road","LCpct30mBuf_soil","LCpct30mBuf_tree","LCpct30mBuf_grass","LCpct30mBuf_shrub","LCpct30mBuf_cropland","LCpct30mBuf_fallow","LCpct30mBuf_orchard","LCpct30mBuf_lake","LCpct30mBuf_canal","LCpct30mBuf_pool","LCpct30mBuf_seasonal.river","LST30mBuf_20170715_ MIN","LST30mBuf_20170715_ MAX","LST30mBuf_20170715_ RANGE","LST30mBuf_20170715_ MEAN","Tair_mean_00:00","Tair_mean_01:00","Tair_mean_02:00","Tair_mean_03:00","Tair_mean_04:00","Tair_mean_05:00","Tair_mean_06:00","Tair_mean_07:00","Tair_mean_08:00","Tair_mean_09:00","Tair_mean_10:00","Tair_mean_11:00","Tair_mean_12:00","Tair_mean_13:00","Tair_mean_14:00","Tair_mean_15:00","Tair_mean_16:00","Tair_mean_17:00","Tair_mean_18:00","Tair_mean_19:00","Tair_mean_20:00","Tair_mean_21:00","Tair_mean_22:00","Tair_mean_23:00","mean_Tair","max_pctl95_Tair","min_pctl05_Tair","HI_mean_00:00","HI_mean_01:00","HI_mean_02:00","HI_mean_03:00","HI_mean_04:00","HI_mean_05:00","HI_mean_06:00","HI_mean_07:00","HI_mean_08:00","HI_mean_09:00","HI_mean_10:00","HI_mean_11:00","HI_mean_12:00","HI_mean_13:00","HI_mean_14:00","HI_mean_15:00","HI_mean_16:00","HI_mean_17:00","HI_mean_18:00","HI_mean_19:00","HI_mean_20:00","HI_mean_21:00","HI_mean_22:00","HI_mean_23:00","mean_HI","max_pctl95_HI","min_pctl05_HI"
"H14",0.445847,"AirT",33.556695,-112.091763,0.119874312227591,42679,0.174005681818182,0.263849431818182,0.214133522727273,0.142755681818182,0.200639204545455,0,0,0,0,0,0,0.00461647727272727,0,46.57345422,47.16781289,0.594358667,46.86166156,29.6532258064516,28.9193548387097,28.1935483870968,27.6451612903226,27.1290322580645,26.6532258064516,26.6129032258065,30.7903225806452,35.7177419354839,38.3709677419355,36.0806451612903,36.4274193548387,36.9677419354839,37.9112903225806,39.0645161290323,40.2741935483871,42.7096774193548,39.4193548387097,38.4274193548387,36.7661290322581,34.5,32.9354838709677,31.8467741935484,30.3709677419355,33.8911290322581,42.5,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H16",0.356379,"RH",33.469355,-112.08809,0.203487467723953,128815,0.104159260575898,0.244934233913971,0.156061144685389,0.296480625666548,0.198364735158194,0,0,0,0,0,0,0,0,47.50154481,47.90046704,0.398922221,47.63451889,32.2935483870968,31.4709677419355,30.7532258064516,30.1967741935484,29.608064516129,28.9306451612903,28.6645161290323,30.8822580645161,31.6483870967742,33.2370967741936,34.4629032258064,35.5354838709677,36.8338709677419,39.8790322580645,41.5564516129032,42.1822580645161,41.7354838709677,41.7548387096774,40.4935483870968,38.4145161290323,36.5838709677419,35.4951612903226,34.3822580645161,33.0838709677419,35.0032930107527,44.1,26.6,32.5153225806452,31.7643548387097,31.036935483871,30.5537096774194,30.0617741935484,29.538064516129,29.3787096774194,31.7908064516129,32.3564516129032,33.9829032258065,35.0046774193548,35.9677419354839,37.1511290322581,40.5691935483871,42.2227419354839,42.6027419354839,41.6503225806452,41.4788709677419,39.9832258064516,37.7433870967742,36.0945161290323,35.1722580645161,34.3453225806452,33.1946774193548,35.2556258411844,43.59,27.091
"H17",0.451934,"RH",33.40938,-111.93249,0.076633999525104,78125,0.0364730878186969,0.308073654390935,0.327195467422096,0.254249291784703,0.0740084985835694,0,0,0,0,0,0,0,0,48.65653951,49.01723616,0.360696647,48.84776977,31.358064516129,30.5274193548387,29.9306451612903,29.4225806451613,28.6887096774194,28.0758064516129,28.7693548387097,30.5838709677419,32.6241935483871,34.0596774193548,35.5838709677419,37.7693548387097,40.7451612903226,40.4629032258064,40.4951612903226,40.7935483870968,41.7774193548387,40.4709677419355,39.7532258064516,38.7129032258064,36.0596774193548,34.7048387096774,33.5435483870968,32.2451612903226,34.8815860215054,43.6,25.6,31.6956451612903,30.8667741935484,30.2709677419355,29.7964516129032,29.1945161290323,28.6601612903226,29.3372580645161,31.2411290322581,33.278064516129,34.6279032258064,36.0667741935484,38.3825806451613,41.3467741935484,40.7129032258064,40.3911290322581,40.4840322580645,41.4054838709677,39.8275806451613,39.0158064516129,38.0011290322581,35.4711290322581,34.3309677419355,33.3820967741935,32.2396774193548,35.000134589502,42.9565,25.91
"H18",0.218906,"RH",33.485689,-112.031224,-0.117209387564483,34125,0.176407697790449,0.605488239486814,0.157163221667855,0.0196008553100499,0.0413399857448325,0,0,0,0,0,0,0,0,52.72320198,52.82450847,0.101306491,52.77402976,32.6483870967742,31.9306451612903,31.1564516129032,30.4790322580645,29.9064516129032,29.2290322580645,29.2451612903226,31.608064516129,33.8822580645161,35.4790322580645,37.6,38.5516129032258,39.8096774193548,40.9854838709677,41.6693548387097,42.891935483871,43.5725806451613,43.7612903225806,41.2483870967742,39.6241935483871,37.5838709677419,36.3258064516129,35.0112903225806,33.7451612903226,36.1643817204301,45.6,27.6,32.5796774193548,31.9883870967742,31.1759677419355,30.5537096774194,30.0790322580645,29.5253225806452,29.6162903225806,32.0485483870968,34.4158064516129,35.9382258064516,38.0640322580645,38.7295161290323,39.8706451612903,41.0577419354839,41.3691935483871,42.6009677419355,43.0808064516129,43.0083870967742,40.2653225806452,38.623064516129,36.5885483870968,35.6341935483871,34.601935483871,33.4837096774194,36.0364333781965,44.28,27.457
"H20",0.401294,"RH",33.511797,-112.024624,0.140735040853757,93182,0.0202271114265436,0.363023420865862,0.111426543647977,0.268630234208659,0.236692689850958,0,0,0,0,0,0,0,0,46.44911713,48.89387449,2.444757364,47.61359257,29.9548387096774,29.108064516129,28.6887096774194,28.358064516129,27.9790322580645,27.5516129032258,27.85,29.8983870967742,31.7935483870968,33.3661290322581,36.1161290322581,37.7532258064516,38.8483870967742,40.1177419354839,42.3064516129032,42.2096774193548,43.3774193548387,43.9951612903226,43.5161290322581,38.3403225806452,35.1161290322581,33.2774193548387,31.7935483870968,30.7693548387097,34.6702284946237,46,25.6,30.5583870967742,29.8027419354839,29.4001612903226,28.9332258064516,28.5479032258065,28.1564516129032,28.4879032258065,30.755,32.4666129032258,33.9020967741935,36.7496774193548,38.355,39.1975806451613,40.3625806451613,42.46,42.1856451612903,43.2216129032258,43.2696774193548,42.6448387096774,37.5345161290323,34.831935483871,33.34,32.1293548387097,31.3088709677419,34.940397039031,45.073,25.785
"L01",0.218642,"AirT",33.535396,-112.09454,-0.051295503523291,28871,0.418298326806693,0.427198291206835,0.100035599857601,0.0103239587041652,0.0441438234247063,0,0,0,0,0,0,0,0,51.29978585,51.78510124,0.485315384,51.532035,31.25,30.6129032258065,29.9758064516129,29.4193548387097,28.8225806451613,28.2096774193548,28.0241935483871,32.0967741935484,32.241935483871,33.7983870967742,34.9838709677419,36.1209677419355,37.0564516129032,38.0887096774194,39.0564516129032,39.8064516129032,40.2741935483871,44.7741935483871,38.5403225806452,37.0887096774194,35.1451612903226,34.0725806451613,32.9758064516129,31.9274193548387,34.3484543010753,43,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L02",0.180719,"AirT",33.522291,-112.103981,-0.069244894331375,50099,0.0948153409090909,0.569602272727273,0.300426136363636,0.0198863636363636,0.0134943181818182,0,0,0,0,0,0,0.00177556818181818,0,53.20842369,53.41729618,0.208872484,53.33788746,32.3467741935484,31.6370967741935,31,30.2822580645161,29.6774193548387,29.0725806451613,28.8790322580645,30.5322580645161,32.8467741935484,35.5967741935484,38.0161290322581,37.8225806451613,37.7822580645161,38.741935483871,40.5967741935484,42.0403225806452,42.3951612903226,42,40.4193548387097,38.8467741935484,36.9193548387097,35.7338709677419,34.3306451612903,33.2258064516129,35.4475806451613,44,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L03",0.161078,"AirT",33.45111,-111.97481,-0.053616578446287,30921,0.125621007806955,0.679559971611072,0.0603264726756565,0.122427253371185,0.0120652945351313,0,0,0,0,0,0,0,0,52.70226717,52.87942035,0.177153187,52.79084376,32.7903225806452,32.008064516129,31.3064516129032,30.6854838709677,30.0483870967742,29.5403225806452,29.4354838709677,30.1612903225806,31.508064516129,32.9274193548387,34.7338709677419,36.8467741935484,38.0887096774194,39.491935483871,41.7258064516129,41.3306451612903,41.8387096774194,40.6935483870968,39.4112903225806,38.4677419354839,37.0403225806452,36.0645161290323,34.9596774193548,33.8306451612903,35.2056451612903,43.5,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L04",0.151333,"AirT",33.45378,-112.0792,-0.109767238705892,21858,0.206321022727273,0.241832386363636,0.527698863636364,0.01171875,0.0124289772727273,0,0,0,0,0,0,0,0,53.63372973,53.77154419,0.137814456,53.70263696,32.9838709677419,32.2903225806452,31.6129032258065,31.008064516129,30.5241935483871,29.8951612903226,29.9596774193548,31.3225806451613,32.8629032258064,34.7822580645161,36.5483870967742,37.7903225806452,38.8467741935484,39.9758064516129,41.5725806451613,42.8790322580645,41.6693548387097,41.5161290322581,40.6774193548387,39.2016129032258,37.2258064516129,36.2177419354839,35.0483870967742,33.758064516129,35.8403897849462,44.5,27.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L05",0.157516,"AirT",33.41289,-111.89863,0.003744725294356,17944,0,0.769586894586895,0.0762108262108262,0.108974358974359,0.0452279202279202,0,0,0,0,0,0,0,0,53.46244547,53.60429682,0.141851348,53.53337115,32.0564516129032,31.1370967741935,30.4596774193548,29.9112903225806,29.1451612903226,28.5564516129032,28.6693548387097,30.5967741935484,33.6612903225806,35.6451612903226,38.3387096774194,40.4032258064516,41.3790322580645,42.1612903225806,45.0161290322581,44.5806451612903,43.758064516129,43.2983870967742,41.0403225806452,38.8467741935484,36.6935483870968,35.491935483871,34.1129032258064,32.991935483871,36.1646505376344,47,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
